Department,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28
Enfeksiyon Hastalıkları,Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,karın ağrısı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,ishal,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit A,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,hafif ateş,gözlerin sararması,kas ağrısı,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,yorgunluk,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,kaşıntı,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,kaşıntı,yorgunluk,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,kaşıntı,yorgunluk,rehavet,koyu idrar,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,iştah kaybı,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,koyu idrar,karın ağrısı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,sarı idrar,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit B,kaşıntı,yorgunluk,rehavet,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,gözlerin sararması,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit C,sarımsı cilt,mide bulantısı,iştah kaybı,gözlerin sararması,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit C,yorgunluk,mide bulantısı,iştah kaybı,gözlerin sararması,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit C,yorgunluk,sarımsı cilt,iştah kaybı,gözlerin sararması,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,gözlerin sararması,aile öyküsü,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,kusma,yorgunluk,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,yorgunluk,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,kusma,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,kusma,yorgunluk,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar,mide bulantısı,karın ağrısı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,gözlerin sararması,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yüksek ateş,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,koyu idrar,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,mide bulantısı,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Hepatit E,eklem ağrısı,kusma,yorgunluk,yüksek ateş,sarımsı cilt,koyu idrar,iştah kaybı,karın ağrısı,gözlerin sararması,akut karaciğer yetmezliği,koma,mide kanaması,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Alkolik Hepatit,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,karın ağrısı,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,karın şişliği,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,alkol tüketimi geçmişi,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği,aşırı sıvı yüklemesi,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği,alkol tüketimi geçmişi,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,kusma,yorgunluk,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,yorgunluk,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,yüksek ateş,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,öksürük,nefes darlığı,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,öksürük,yüksek ateş,terlemek,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,üşümek,kusma,yorgunluk,kilo kaybı,öksürük,yüksek ateş,nefes darlığı,iştah kaybı,hafif ateş,gözlerin sararması,şişmiş lenf düğümleri,keyifsizlik,balgam,göğüs ağrısı,balgamda kan,,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,üşümek,yorgunluk,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,yorgunluk,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,baş ağrısı,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,yüksek ateş,şişmiş lenf düğümleri,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,yüksek ateş,baş ağrısı,keyifsizlik,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,sürekli hapşırmak,üşümek,yorgunluk,öksürük,yüksek ateş,baş ağrısı,şişmiş lenf düğümleri,balgam,boğaz tahrişi,gözlerin kızarıklığı,sinüs basıncı,burun akması,tıkanıklık,göğüs ağrısı,koku kaybı,kas ağrısı,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,öksürük,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,yüksek ateş,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,nefes darlığı,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,terlemek,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,nefes darlığı,keyifsizlik,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),üşümek,yorgunluk,öksürük,yüksek ateş,nefes darlığı,terlemek,balgam,göğüs ağrısı,hızlı kalp atış hızı,paslı balgam,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Dimorfik Hemoroit,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Kalp Krizi,nefes darlığı,terlemek,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Kalp Krizi,kusma,terlemek,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Kalp Krizi,kusma,nefes darlığı,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Kalp Krizi,kusma,nefes darlığı,terlemek,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar,şişmiş kan damarları,baldırda belirgin damarlar,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,kramplar,morarma,obezite,şişmiş bacaklar,şişmiş kan damarları,baldırda belirgin damarlar,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,yorgunluk,morarma,obezite,şişmiş bacaklar,şişmiş kan damarları,baldırda belirgin damarlar,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,yorgunluk,kramplar,obezite,şişmiş bacaklar,şişmiş kan damarları,baldırda belirgin damarlar,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,yorgunluk,kramplar,morarma,şişmiş bacaklar,şişmiş kan damarları,baldırda belirgin damarlar,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş kan damarları,baldırda belirgin damarlar,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar,baldırda belirgin damarlar,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar,şişmiş kan damarları,,,,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipotiroidizm,yorgunluk,kilo almak,soğuk eller ve ayaklar,ruh halinde ani değişimler,rehavet,baş dönmesi,şişmiş yüz ve gözler,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar,depresyon,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipotiroidizm,kilo almak,soğuk eller ve ayaklar,ruh halinde ani değişimler,rehavet,baş dönmesi,şişmiş yüz ve gözler,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar,depresyon,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipotiroidizm,yorgunluk,soğuk eller ve ayaklar,ruh halinde ani değişimler,rehavet,baş dönmesi,şişmiş yüz ve gözler,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar,depresyon,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipotiroidizm,yorgunluk,kilo almak,ruh halinde ani değişimler,rehavet,baş dönmesi,şişmiş yüz ve gözler,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar,depresyon,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipotiroidizm,yorgunluk,kilo almak,soğuk eller ve ayaklar,rehavet,baş dönmesi,şişmiş yüz ve gözler,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar,depresyon,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipotiroidizm,yorgunluk,kilo almak,soğuk eller ve ayaklar,ruh halinde ani değişimler,baş dönmesi,şişmiş yüz ve gözler,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar,depresyon,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipotiroidizm,yorgunluk,kilo almak,soğuk eller ve ayaklar,ruh halinde ani değişimler,rehavet,şişmiş yüz ve gözler,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar,depresyon,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipotiroidizm,yorgunluk,kilo almak,soğuk eller ve ayaklar,ruh halinde ani değişimler,rehavet,baş dönmesi,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar,depresyon,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,yorgunluk,ruh halinde ani değişimler,kilo kaybı,huzursuzluk,terlemek,ishal,hızlı kalp atış hızı,aşırı açlık,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,ruh halinde ani değişimler,kilo kaybı,huzursuzluk,terlemek,ishal,hızlı kalp atış hızı,aşırı açlık,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,yorgunluk,kilo kaybı,huzursuzluk,terlemek,ishal,hızlı kalp atış hızı,aşırı açlık,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,yorgunluk,ruh halinde ani değişimler,huzursuzluk,terlemek,ishal,hızlı kalp atış hızı,aşırı açlık,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,yorgunluk,ruh halinde ani değişimler,kilo kaybı,terlemek,ishal,hızlı kalp atış hızı,aşırı açlık,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,yorgunluk,ruh halinde ani değişimler,kilo kaybı,huzursuzluk,ishal,hızlı kalp atış hızı,aşırı açlık,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,yorgunluk,ruh halinde ani değişimler,kilo kaybı,huzursuzluk,terlemek,hızlı kalp atış hızı,aşırı açlık,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,yorgunluk,ruh halinde ani değişimler,kilo kaybı,huzursuzluk,terlemek,ishal,aşırı açlık,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipertiroidizm,yorgunluk,ruh halinde ani değişimler,kilo kaybı,huzursuzluk,terlemek,ishal,hızlı kalp atış hızı,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,,,,,,,,,,,,,,,,,,
